artist,count,popularity,tempo,loudness,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Brad Paisley,81,49.76543209876543,120.9185802469136,-7.544086419753084,0.3070661728395061,0.5490246913580249,0.6408148148148147,0.000866244074074,0.2209209876543209,0.0346728395061728,0.490530864197531
Brainstorm,6,35.333333333333336,150.60966666666667,-11.592333333333334,0.4496666666666667,0.5990000000000001,0.5673333333333334,0.000997,0.3560333333333333,0.0857666666666666,0.6859999999999999
Brand New,74,44.54054054054054,131.3447297297298,-6.284405405405407,0.1778303054054053,0.4408648648648649,0.6860810810810808,0.0456977754054054,0.1600378378378377,0.0686027027027027,0.3630270270270271
Brand Nubian,14,40.85714285714285,111.62985714285716,-11.172,0.06479,0.7892857142857144,0.6562857142857144,0.0001114614285714,0.1079857142857143,0.1831714285714285,0.7574285714285713
Brandi Carlile,25,51.88,109.39487999999996,-7.545680000000001,0.41916,0.52756,0.4808,2.6215999999999998e-05,0.1429359999999999,0.038788,0.31792
Brandon Heath,12,48.5,100.57466666666666,-5.890666666666665,0.3630833333333333,0.5815,0.6166666666666668,2.005e-05,0.1486333333333333,0.0345666666666666,0.527
Brandy,59,49.32203389830509,114.99620338983053,-6.3083898305084745,0.2395038983050847,0.662576271186441,0.5608305084745762,0.0031800013559322,0.2214169491525423,0.0836186440677966,0.5859661016949153
Brantley Gilbert,57,51.43859649122808,134.69775438596486,-7.310947368421052,0.1794986666666666,0.5174912280701757,0.6456315789473684,0.001258358245614,0.1546631578947369,0.0433263157894736,0.4893684210526318
Bratmobile,6,42.333333333333336,161.72033333333331,-4.698333333333334,0.3198666666666667,0.4270000000000001,0.9486666666666668,0.4263333333333333,0.1121666666666666,0.0577333333333333,0.5773333333333334
Brazeros Musical De Durango,12,45.33333333333334,126.72083333333332,-5.671666666666668,0.2125,0.7566666666666667,0.7433333333333333,0.0613694666666666,0.3160333333333333,0.0623333333333333,0.9608333333333332
Bread,162,37.320987654320994,121.84345679012348,-13.6257901234568,0.5109012345679015,0.4951604938271602,0.404735802469136,0.0175192859259259,0.1504703703703704,0.0350876543209876,0.5232592592592593
Breaking Benjamin,119,51.495798319327726,131.1045966386555,-4.7079579831932765,0.0116582971428571,0.4396554621848739,0.8568235294117651,0.0721990668907563,0.1375218487394958,0.0609739495798319,0.3868235294117647
Breakwater,6,33.333333333333336,109.17766666666664,-11.183,0.1604999999999999,0.6266666666666666,0.7656666666666667,0.0890093666666666,0.0757666666666666,0.0429666666666666,0.7736666666666666
Brenda And The Tabulations,6,39.0,135.28733333333332,-10.447666666666668,0.4073333333333333,0.389,0.4306666666666668,0.00214953,0.4126,0.0306,0.5169999999999999
Brenda K. Starr,6,41.333333333333336,125.52966666666669,-8.343333333333332,0.3026666666666667,0.5140000000000001,0.5793333333333334,3.366666666666667e-07,0.1136,0.0420666666666666,0.4463333333333333
Brenda Lee,128,29.8125,110.00657812500005,-9.5923125,0.6706718749999999,0.5620312499999996,0.3670625,0.00031218859375,0.2048312499999998,0.0425328125,0.5761250000000002
